,full_tian_loss,full_tian_ppl,pretrain_to_full_loss,pretrain_to_full_ppl,pretrain_to_tian_loss,pretrain_to_tian_ppl
0,0.1672370880842209,1.1820344783794208,6.1861467361450195,485.9699234815332,3.213714361190796,24.8712958447069
1,0.15218137204647064,1.1643714017057738,5.467787742614746,236.93545034268345,3.050736904144287,21.13091014187079
2,0.1414174735546112,1.1519054376769133,4.796941757202148,121.13937681496488,2.8867757320404053,17.935387777834286
3,0.13382038474082947,1.143187467289773,4.198810577392578,66.60705996393017,2.7203614711761475,15.185810485750746
4,0.1285068690776825,1.1371292322934197,3.671769142150879,39.32140952426699,2.5483651161193848,12.786182761511402
5,0.12505216896533966,1.1332075697912147,3.218198537826538,24.983073556635848,2.365278482437134,10.64700340815491
6,0.12308740615844727,1.130983271530384,2.8235816955566406,16.8370479835144,2.1627938747406006,8.695397604784764
7,0.12230250239372253,1.1300959067962364,2.4382057189941406,11.452473341077674,1.9319536685943604,6.90298321795087
8,0.12241554260253906,1.1302236602940283,2.0156476497650146,7.505586798959364,1.6693391799926758,5.3086585700299835
9,0.1232273206114769,1.1311415235068172,1.5443400144577026,4.684878654296389,1.3752093315124512,3.955904731773996
10,0.12456747889518738,1.1326584484223032,0.9957616329193115,2.706785133059244,0.9957615733146667,2.7067849717222825
11,0.12621210515499115,1.134522780894818,0.6137915849685669,1.8474227966727526,0.6491085290908813,1.913833941023137
12,0.1278589814901352,1.136392738986578,0.38028809428215027,1.4627059259527238,0.39841124415397644,1.4894564342259768
13,0.12913531064987183,1.1378440761712232,0.23484709858894348,1.2647153771825919,0.24463842809200287,1.2771594447333374
14,0.12987184524536133,1.1386824464040362,0.15361380577087402,1.1660404817071552,0.1611965000629425,1.174915817164296
15,0.13039761781692505,1.1392812918165276,0.12456749379634857,1.1326584653002294,0.13039761781692505,1.1392812918165276
16,0.13122057914733887,1.1402192621678826,0.13536109030246735,1.1449501401098474,0.1407036930322647,1.1510835233800185
17,0.13327258825302124,1.142561404703384,0.1882350891828537,1.2071172622061708,0.1959904432296753,1.2165152793216418
18,0.14095433056354523,1.151372064270694,0.3117978572845459,1.3658785627199062,0.32506048679351807,1.384114364088552
19,0.16921870410442352,1.1843791391796596,0.5608294010162354,1.7521251121625494,0.5794305801391602,1.7850217144920677
20,0.2758718430995941,1.3176789835516733,1.02074134349823,2.7752514161205473,1.0701560974121094,2.9158346186927626
